ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
AMZN,2023-11-06,2023-11-03,2023-11-07,138.6,140.55,0.247207,0.196431,0.050777,1.4069,6.513398,6.490346,281.5531,False,0.5623,3.003181,6.142379
TSLA,2023-11-06,2023-11-03,2023-11-07,219.96,219.98,0.585452,0.359895,0.225557,0.0091,30.46761,30.431026,831.8185,False,0.486,4.732804,9.748035
ADBE,2023-11-06,2023-11-03,2023-11-07,563.66,568.81,0.373219,0.203025,0.170194,0.9137,45.559744,45.465997,484.9816,False,0.486,12.128078,24.979893
UBER,2023-11-06,2023-11-03,2023-11-07,47.75,47.0,0.279951,0.185359,0.094592,-1.5707,2.524357,2.516415,316.858,False,0.7883,1.056228,2.116151
RBLX,2023-11-06,2023-11-03,2023-11-07,34.9,34.05,0.839651,0.322876,0.516774,-2.4355,6.015145,6.00934,1035.2781,False,2.3939,0.889592,1.546674
NFLX,2024-02-07,2024-02-06,2024-02-08,55.588,56.055,0.333853,0.249992,0.083861,0.8401,4.032082,4.022837,435.118,False,0.486,1.196068,2.463511
FTNT,2024-02-07,2024-02-06,2024-02-08,67.48,69.79,0.433136,0.336979,0.096157,3.4232,4.688003,4.67678,416.7039,True,5.0755,2.134311,2.990532
MDB,2024-02-07,2024-02-06,2024-02-08,443.31,457.85,0.62246,0.487405,0.135055,3.2799,50.660611,50.58688,686.0979,False,4.6302,13.553636,19.646306
NET,2024-02-07,2024-02-06,2024-02-08,81.59,83.75,1.454299,0.36155,1.092749,2.6474,25.254798,25.241228,1860.0699,False,2.8929,2.169374,3.615849
PYPL,2024-02-07,2024-02-06,2024-02-08,63.3712,57.6717,1.034714,0.229946,0.804768,-8.9939,9.581126,9.570586,908.0346,True,37.1307,6.144815,2.808441
LRCX,2024-02-07,2024-02-06,2024-02-08,81.7738,83.4766,0.432696,0.362798,0.069899,2.0824,6.76925,6.755649,496.7167,False,1.6545,1.954793,3.623994
AMZN,2024-02-07,2024-02-06,2024-02-08,169.15,169.65,0.311611,0.238079,0.073531,0.2956,12.327404,12.299271,437.1828,False,0.486,3.639542,7.496272
DDOG,2024-02-07,2024-02-06,2024-02-08,129.18,128.08,0.359529,0.304829,0.0547,-0.8515,10.116114,10.094629,469.8409,False,0.486,2.779522,5.72491
ILMN,2024-02-07,2024-02-06,2024-02-08,140.9436,138.5895,0.634329,0.3462,0.288128,-1.6702,18.758268,18.734826,799.2085,False,0.9378,3.160264,6.24624
CDNS,2024-02-07,2024-02-06,2024-02-08,292.8,303.5,0.443469,0.32764,0.115829,3.6544,20.358425,20.309726,417.0506,True,5.8337,9.794164,12.976107
BIIB,2024-02-07,2024-02-06,2024-02-08,245.55,239.89,0.581515,0.231171,0.350344,-2.305,28.153173,28.112334,688.3553,False,2.1072,6.106536,10.882115
ABNB,2024-02-07,2024-02-06,2024-02-08,144.53,149.25,0.447224,0.39473,0.052494,3.2658,10.735266,10.711228,445.5916,False,4.5874,4.404251,6.405181
AMAT,2024-02-07,2024-02-06,2024-02-08,165.3219,166.5861,0.56681,0.449985,0.116825,0.7647,20.944568,20.917071,760.7225,False,0.486,3.557174,7.326621
COIN,2024-02-07,2024-02-06,2024-02-08,119.79,127.22,1.06507,0.934229,0.130842,6.2025,22.281081,22.261158,1117.3337,True,17.4732,7.378337,5.30877
UBER,2024-02-07,2024-02-06,2024-02-08,70.47,71.93,1.041831,0.274296,0.767535,2.0718,15.646362,15.634641,1333.9494,False,1.6341,1.681553,3.123041
INTU,2024-02-07,2024-02-06,2024-02-08,625.2371,636.1908,0.344571,0.276704,0.067867,1.7519,41.187586,41.083597,395.0749,False,1.0673,14.184211,27.708824
TXN,2024-02-07,2024-02-06,2024-02-08,148.5878,149.4697,0.260381,0.196223,0.064158,0.5936,8.640237,8.615523,348.6215,False,0.486,3.197113,6.585011
CDNS,2024-05-08,2024-05-07,2024-05-09,284.04,283.05,0.270226,0.219511,0.050715,-0.3485,17.853874,17.806632,376.9276,False,0.486,6.111591,12.587889
ISRG,2024-05-08,2024-05-07,2024-05-09,388.65,381.79,0.309523,0.157119,0.152404,-1.7651,22.42697,22.36233,345.9506,False,1.0888,8.833996,17.223922
FTNT,2024-05-08,2024-05-07,2024-05-09,59.43,59.4,0.296032,0.223166,0.072866,-0.0505,4.264489,4.254604,430.4366,False,0.486,1.278735,2.633778
ABNB,2024-05-08,2024-05-07,2024-05-09,159.81,146.6,0.531917,0.181422,0.350495,-8.2661,6.981097,6.954518,261.6488,True,31.3092,14.073316,7.082349
