S0,strike,T,type,option_price,iv_market,moneyness,expiry,r
735.5999755859375,717.0,0.1726027397260274,put,17.77,0.237487075777976,0.9747145511103071,2026-07-31,0.05
735.5999755859375,718.0,0.1726027397260274,put,17.95,0.23570086722338385,0.9760739856306841,2026-07-31,0.05
735.5999755859375,719.0,0.1726027397260274,put,18.3,0.23537908403038182,0.9774334201510612,2026-07-31,0.05
735.5999755859375,720.0,0.1726027397260274,put,18.65,0.23501325767888853,0.9787928546714382,2026-07-31,0.05
735.5999755859375,721.0,0.1726027397260274,put,19.03,0.23486470433431328,0.9801522891918152,2026-07-31,0.05
735.5999755859375,722.0,0.1726027397260274,put,21.8,0.2552980758387729,0.9815117237121922,2026-07-31,0.05
735.5999755859375,723.0,0.1726027397260274,put,21.98,0.2532573312646102,0.9828711582325692,2026-07-31,0.05
735.5999755859375,725.0,0.1726027397260274,put,20.42,0.23270552410073864,0.9855900272733231,2026-07-31,0.05
735.5999755859375,726.0,0.1726027397260274,put,20.79,0.23225112143785825,0.9869494617937001,2026-07-31,0.05
735.5999755859375,727.0,0.1726027397260274,put,20.95,0.22997115686374858,0.9883088963140771,2026-07-31,0.05
735.5999755859375,728.0,0.1726027397260274,put,21.41,0.2301969469051286,0.9896683308344542,2026-07-31,0.05
735.5999755859375,730.0,0.1726027397260274,put,22.25,0.22983038110209528,0.9923871998752082,2026-07-31,0.05
735.5999755859375,732.0,0.1726027397260274,put,23.13,0.22961429223150767,0.9951060689159622,2026-07-31,0.05
735.5999755859375,735.0,0.1726027397260274,put,24.37,0.22828046675089372,0.9991843724770931,2026-07-31,0.05
735.5999755859375,736.0,0.1726027397260274,call,29.05,0.2140263610252321,1.0005438069974701,2026-07-31,0.05
735.5999755859375,737.0,0.1726027397260274,call,28.7,0.2153569738180437,1.001903241517847,2026-07-31,0.05
735.5999755859375,738.0,0.1726027397260274,call,24.46,0.18454644455661906,1.0032626760382242,2026-07-31,0.05
735.5999755859375,739.0,0.1726027397260274,call,27.22,0.21143313021580834,1.004622110558601,2026-07-31,0.05
735.5999755859375,740.0,0.1726027397260274,call,27.13,0.21475086949305575,1.0059815450789782,2026-07-31,0.05
735.5999755859375,741.0,0.1726027397260274,call,25.77,0.20757710110817465,1.007340979599355,2026-07-31,0.05
735.5999755859375,742.0,0.1726027397260274,call,25.61,0.21021728656741548,1.0087004141197322,2026-07-31,0.05
735.5999755859375,743.0,0.1726027397260274,call,25.1,0.20993210143573818,1.0100598486401091,2026-07-31,0.05
735.5999755859375,744.0,0.1726027397260274,call,24.85,0.21172989763813843,1.011419283160486,2026-07-31,0.05
735.5999755859375,745.0,0.1726027397260274,call,24.11,0.2094585264590173,1.0127787176808631,2026-07-31,0.05
735.5999755859375,746.0,0.1726027397260274,call,21.63,0.19286143771964914,1.01413815220124,2026-07-31,0.05
735.5999755859375,747.0,0.1726027397260274,call,22.99,0.2077184974133914,1.0154975867216172,2026-07-31,0.05
735.5999755859375,748.0,0.1726027397260274,call,22.32,0.20586883208822448,1.016857021241994,2026-07-31,0.05
735.5999755859375,749.0,0.1726027397260274,call,22.41,0.21021309121848072,1.0182164557623712,2026-07-31,0.05
735.5999755859375,750.0,0.1726027397260274,call,21.92,0.20974412361866462,1.019575890282748,2026-07-31,0.05
735.5999755859375,755.0,0.1726027397260274,call,19.39,0.20597079330763396,1.026373062884633,2026-07-31,0.05
735.5999755859375,760.0,0.1726027397260274,call,17.23,0.20397094392985915,1.033170235486518,2026-07-31,0.05
735.5999755859375,765.0,0.1726027397260274,call,14.99,0.199943314124108,1.0399674080884032,2026-07-31,0.05
735.5999755859375,770.0,0.1726027397260274,call,13.75,0.20332357490989014,1.046764580690288,2026-07-31,0.05
735.5999755859375,775.0,0.1726027397260274,call,12.06,0.20154007644611066,1.053561753292173,2026-07-31,0.05
735.5999755859375,780.0,0.1726027397260274,call,10.53,0.19990245320270816,1.060358925894058,2026-07-31,0.05
735.5999755859375,785.0,0.1726027397260274,call,9.36,0.2004851158026314,1.067156098495943,2026-07-31,0.05
735.5999755859375,790.0,0.1726027397260274,call,8.23,0.2003153959243405,1.073953271097828,2026-07-31,0.05
735.5999755859375,795.0,0.1726027397260274,call,7.0,0.19777012414453765,1.080750443699713,2026-07-31,0.05
735.5999755859375,800.0,0.1726027397260274,call,6.13,0.1979789337187307,1.087547616301598,2026-07-31,0.05
735.5999755859375,805.0,0.1726027397260274,call,5.36,0.19828010800774554,1.094344788903483,2026-07-31,0.05
735.5999755859375,810.0,0.1726027397260274,call,4.57,0.19713241126958284,1.101141961505368,2026-07-31,0.05
735.5999755859375,815.0,0.1726027397260274,call,4.1,0.19939175504101997,1.1079391341072529,2026-07-31,0.05
735.5999755859375,820.0,0.1726027397260274,call,3.56,0.19970868491569524,1.114736306709138,2026-07-31,0.05
735.5999755859375,825.0,0.1726027397260274,call,3.03,0.1990807443139277,1.121533479311023,2026-07-31,0.05
735.5999755859375,830.0,0.1726027397260274,call,2.63,0.19967855821638322,1.128330651912908,2026-07-31,0.05
735.5999755859375,835.0,0.1726027397260274,call,2.33,0.20135654868267147,1.1351278245147929,2026-07-31,0.05
735.5999755859375,840.0,0.1726027397260274,call,1.99,0.20131425620267665,1.1419249971166778,2026-07-31,0.05
735.5999755859375,845.0,0.1726027397260274,call,1.72,0.2019296771190292,1.1487221697185628,2026-07-31,0.05
735.5999755859375,630.0,0.2301369863013698,put,5.83,0.2980608248836251,0.8564437478375084,2026-08-21,0.05
735.5999755859375,635.0,0.2301369863013698,put,6.26,0.29404893582492186,0.8632409204393934,2026-08-21,0.05
735.5999755859375,640.0,0.2301369863013698,put,6.7,0.28974625598231163,0.8700380930412784,2026-08-21,0.05
735.5999755859375,645.0,0.2301369863013698,put,7.29,0.2870045601906721,0.8768352656431634,2026-08-21,0.05
735.5999755859375,650.0,0.2301369863013698,put,7.81,0.28282093988869134,0.8836324382450483,2026-08-21,0.05
735.5999755859375,655.0,0.2301369863013698,put,8.37,0.27867093374846374,0.8904296108469334,2026-08-21,0.05
735.5999755859375,660.0,0.2301369863013698,put,9.0,0.2748617808550745,0.8972267834488183,2026-08-21,0.05
735.5999755859375,665.0,0.2301369863013698,put,9.76,0.27197242173575614,0.9040239560507033,2026-08-21,0.05
735.5999755859375,670.0,0.2301369863013698,put,10.53,0.26859673482416174,0.9108211286525884,2026-08-21,0.05
735.5999755859375,675.0,0.2301369863013698,put,11.3,0.2646591539255293,0.9176183012544733,2026-08-21,0.05
735.5999755859375,680.0,0.2301369863013698,put,12.3,0.2624061873345865,0.9244154738563582,2026-08-21,0.05
735.5999755859375,685.0,0.2301369863013698,put,13.11,0.25771928847395487,0.9312126464582433,2026-08-21,0.05
735.5999755859375,690.0,0.2301369863013698,put,14.22,0.255205289651691,0.9380098190601283,2026-08-21,0.05
735.5999755859375,695.0,0.2301369863013698,put,15.29,0.2516680409762461,0.9448069916620132,2026-08-21,0.05
735.5999755859375,700.0,0.2301369863013698,put,16.62,0.2496803536648791,0.9516041642638983,2026-08-21,0.05
735.5999755859375,705.0,0.2301369863013698,put,18.0,0.24736386109146627,0.9584013368657832,2026-08-21,0.05
735.5999755859375,710.0,0.2301369863013698,put,19.43,0.24471639322980773,0.9651985094676682,2026-08-21,0.05
735.5999755859375,715.0,0.2301369863013698,put,21.19,0.2438875875610609,0.9719956820695532,2026-08-21,0.05
735.5999755859375,720.0,0.2301369863013698,put,22.52,0.2390052437438427,0.9787928546714382,2026-08-21,0.05
735.5999755859375,725.0,0.2301369863013698,put,24.41,0.23759873923357996,0.9855900272733231,2026-08-21,0.05
735.5999755859375,730.0,0.2301369863013698,put,26.52,0.2369861335600907,0.9923871998752082,2026-08-21,0.05
735.5999755859375,735.0,0.2301369863013698,put,28.74,0.23633210737821778,0.9991843724770931,2026-08-21,0.05
735.5999755859375,740.0,0.2301369863013698,call,32.67,0.21801713917398263,1.0059815450789782,2026-08-21,0.05
735.5999755859375,745.0,0.2301369863013698,call,29.72,0.2141729966945213,1.0127787176808631,2026-08-21,0.05
735.5999755859375,750.0,0.2301369863013698,call,26.77,0.20943559306986753,1.019575890282748,2026-08-21,0.05
735.5999755859375,755.0,0.2301369863013698,call,24.79,0.21067593857917527,1.026373062884633,2026-08-21,0.05
735.5999755859375,760.0,0.2301369863013698,call,22.93,0.21188273941166028,1.033170235486518,2026-08-21,0.05
735.5999755859375,765.0,0.2301369863013698,call,20.41,0.20740792384816326,1.0399674080884032,2026-08-21,0.05
735.5999755859375,770.0,0.2301369863013698,call,18.32,0.20507235699778376,1.046764580690288,2026-08-21,0.05
735.5999755859375,775.0,0.2301369863013698,call,16.77,0.20582760298116565,1.053561753292173,2026-08-21,0.05
735.5999755859375,780.0,0.2301369863013698,call,15.3,0.2063404063334593,1.060358925894058,2026-08-21,0.05
735.5999755859375,785.0,0.2301369863013698,call,13.49,0.20325995801487537,1.067156098495943,2026-08-21,0.05
735.5999755859375,790.0,0.2301369863013698,call,12.25,0.20381736581493617,1.073953271097828,2026-08-21,0.05
735.5999755859375,795.0,0.2301369863013698,call,10.99,0.20335609648035607,1.080750443699713,2026-08-21,0.05
735.5999755859375,800.0,0.2301369863013698,call,9.74,0.2020618803444774,1.087547616301598,2026-08-21,0.05
735.5999755859375,805.0,0.2301369863013698,call,8.71,0.2018536950614741,1.094344788903483,2026-08-21,0.05
735.5999755859375,810.0,0.2301369863013698,call,7.79,0.20185077553870223,1.101141961505368,2026-08-21,0.05
735.5999755859375,815.0,0.2301369863013698,call,6.89,0.20119156368097105,1.1079391341072529,2026-08-21,0.05
735.5999755859375,820.0,0.2301369863013698,call,6.16,0.20150022337776788,1.114736306709138,2026-08-21,0.05
735.5999755859375,825.0,0.2301369863013698,call,5.47,0.2014725429081572,1.121533479311023,2026-08-21,0.05
735.5999755859375,830.0,0.2301369863013698,call,4.76,0.20033579980513172,1.128330651912908,2026-08-21,0.05
735.5999755859375,835.0,0.2301369863013698,call,4.22,0.20052615308862,1.1351278245147929,2026-08-21,0.05
735.5999755859375,840.0,0.2301369863013698,call,3.33,0.19458655739198608,1.1419249971166778,2026-08-21,0.05
735.5999755859375,845.0,0.2301369863013698,call,3.48,0.2037544233165902,1.1487221697185628,2026-08-21,0.05
735.5999755859375,630.0,0.5561643835616439,put,16.91,0.29613376633063215,0.8564437478375084,2026-12-18,0.05
735.5999755859375,635.0,0.5561643835616439,put,17.71,0.29353321812171007,0.8632409204393934,2026-12-18,0.05
735.5999755859375,640.0,0.5561643835616439,put,18.6,0.2913189289388046,0.8700380930412784,2026-12-18,0.05
735.5999755859375,645.0,0.5561643835616439,put,19.26,0.2873579638433139,0.8768352656431634,2026-12-18,0.05
