lambda,mu_J,rmse
2.2183436654893054,-0.29823529411764704,0.3263526975816675
2.2183436654893054,-0.27294117647058824,0.308960297396582
2.2183436654893054,-0.24764705882352941,0.2926037869222829
2.2183436654893054,-0.2223529411764706,0.27745445190679985
2.2183436654893054,-0.1970588235294118,0.2637123969071443
2.2183436654893054,-0.17176470588235293,0.25160948185552207
2.2183436654893054,-0.14647058823529413,0.24140895677088364
2.2183436654893054,-0.12117647058823527,0.2333990489182564
2.2183436654893054,-0.09588235294117647,0.2278777548608014
2.2183436654893054,-0.07058823529411762,0.22512772785438237
2.2183436654893054,-0.04529411764705882,0.22538396157685295
2.2183436654893054,-0.02,0.22880189074316015
2.9085456646871783,-0.45,0.5498010560421425
2.9085456646871783,-0.4247058823529412,0.5248992977302336
2.9085456646871783,-0.39941176470588236,0.5004615210616581
2.9085456646871783,-0.37411764705882355,0.4765779963372381
2.9085456646871783,-0.3488235294117647,0.45334955429483964
2.9085456646871783,-0.3235294117647059,0.4308892081371766
2.9085456646871783,-0.29823529411764704,0.4093243673112649
2.9085456646871783,-0.27294117647058824,0.38879991653713286
2.9085456646871783,-0.24764705882352941,0.3694824667962733
2.9085456646871783,-0.2223529411764706,0.3515659986592717
2.9085456646871783,-0.1970588235294118,0.33527876034794984
2.9085456646871783,-0.17176470588235293,0.32089038857389335
2.9085456646871783,-0.14647058823529413,0.30871658092618204
2.9085456646871783,-0.12117647058823527,0.2991164319542583
2.9085456646871783,-0.09588235294117647,0.29247596168186224
2.9085456646871783,-0.07058823529411762,0.2891728965618289
2.9085456646871783,-0.04529411764705882,0.289524892807332
2.9085456646871783,-0.02,0.29373497116325387
